2015-07-29,20425.69,20425.69,20205.21,20302.91
2015-07-28,20188.57,20423.58,20070.62,20328.89
2015-07-27,20374.05,20486.93,20278.73,20350.10
2015-07-24,20603.63,20631.54,20527.78,20544.53
2015-07-23,20693.57,20708.23,20648.76,20683.95
2015-07-22,20657.80,20677.84,20576.19,20593.67
2015-07-21,20763.31,20850.00,20710.34,20841.97
2015-07-17,20646.63,20658.95,20611.22,20650.92
2015-07-16,20588.98,20612.50,20522.25,20600.12
2015-07-15,20478.85,20496.60,20401.09,20463.33
2015-07-14,20355.33,20435.53,20322.20,20385.33
2015-07-13,19929.92,20120.15,19911.39,20089.77
2015-07-10,19829.93,19978.24,19720.15,19779.83
2015-07-09,19422.78,19855.50,19115.20,19855.50
2015-07-08,20282.49,20310.89,19737.64,19737.64
2015-07-07,20354.23,20428.00,20337.18,20376.59
2015-07-06,20200.15,20310.72,20012.23,20112.12
2015-07-03,20476.69,20557.51,20431.25,20539.79
2015-07-02,20565.94,20601.73,20479.85,20522.50
2015-07-01,20291.05,20346.74,20225.27,20329.32
2015-06-30,20174.61,20243.18,20118.26,20235.73
2015-06-29,20305.97,20361.60,20093.16,20109.95
2015-06-26,20758.43,20785.76,20650.00,20706.15
2015-06-25,20777.69,20866.58,20758.60,20771.40
2015-06-24,20889.32,20952.71,20838.22,20868.03
2015-06-23,20547.74,20809.42,20531.13,20809.42
2015-06-22,20174.14,20433.30,20174.14,20428.19
2015-06-19,20152.41,20194.45,20075.91,20174.24
2015-06-18,20193.59,20200.51,19990.55,19990.82
2015-06-17,20306.10,20323.08,20126.57,20219.27
2015-06-16,20332.83,20368.21,20234.16,20257.94
2015-06-15,20205.10,20401.48,20205.10,20387.79
2015-06-12,20431.78,20437.26,20331.19,20407.08
2015-06-11,20183.61,20382.97,20178.04,20382.97
2015-06-10,20126.36,20264.92,20016.32,20046.36
2015-06-09,20293.05,20332.42,20095.48,20096.30
2015-06-08,20537.85,20544.94,20359.06,20457.19
2015-06-05,20398.76,20480.25,20363.18,20460.90
2015-06-04,20539.94,20552.46,20438.21,20488.19
2015-06-03,20443.15,20506.35,20397.73,20473.51
2015-06-02,20604.67,20619.61,20470.26,20543.19
2015-06-01,20444.54,20595.41,20410.27,20569.87
2015-05-29,20510.27,20636.41,20508.40,20563.15
2015-05-28,20590.28,20655.33,20473.27,20551.46
2015-05-27,20380.64,20513.22,20363.21,20472.58
2015-05-26,20431.27,20473.85,20378.77,20437.48
2015-05-25,20331.92,20417.77,20318.54,20413.77
2015-05-22,20208.85,20278.31,20130.84,20264.41
2015-05-21,20215.46,20320.90,20175.78,20202.87
2015-05-20,20175.59,20278.89,20148.51,20196.56
2015-05-19,19977.14,20087.70,19946.75,20026.38
2015-05-18,19766.16,19890.27,19741.22,19890.27
2015-05-15,19693.17,19750.76,19633.75,19732.92
2015-05-14,19661.52,19717.80,19546.82,19570.24
2015-05-13,19568.76,19791.88,19494.70,19764.72
2015-05-12,19608.23,19626.75,19467.65,19624.84
2015-05-11,19637.58,19679.63,19586.81,19620.91
2015-05-08,19315.63,19458.75,19302.71,19379.19
2015-05-07,19356.46,19461.08,19257.85,19291.99
2015-05-01,19510.85,19549.39,19399.16,19531.63
2015-04-30,19847.50,19852.66,19502.61,19520.01
2015-04-28,20068.65,20133.78,20031.71,20058.95
2015-04-27,20063.80,20069.24,19909.86,19983.32
2015-04-24,20142.47,20142.47,20013.74,20020.04
2015-04-23,20227.28,20252.12,20116.19,20187.65
2015-04-22,19999.84,20144.66,19983.00,20133.90
2015-04-21,19731.57,19909.09,19678.22,19909.09
2015-04-20,19501.00,19725.86,19474.23,19634.49
2015-04-17,19810.40,19815.25,19638.37,19652.88
2015-04-16,19862.48,19894.35,19742.12,19885.77
